Date,Open,Close,High,Low,Adj Close,Volume,Open_after_wavelet,Close_after_wavelet,High_after_wavelet,Low_after_wavelet
2012-11-15,128150.0,128178.0,128920.0,127700.0,128178.0,58700,125651.81798942138,126184.8395265975,127163.59531217185,125194.18331885569
2012-11-16,128475.0,129345.0,129345.0,127500.0,129345.0,49700,125651.81798942138,126184.8395265975,127163.59531217185,125194.18331885569
2012-11-19,130030.0,130000.0,130556.0,129531.0,130000.0,73700,127426.81798942137,127524.83952659751,128450.09531217188,127025.68331885569
2012-11-20,130145.0,130203.0,130282.0,129332.0,130203.0,31600,127426.81798942137,127524.83952659751,128450.09531217188,127025.68331885569
2012-11-21,130300.0,131310.0,131321.0,130170.0,131310.0,60400,128348.31798942137,129381.33952659753,129994.59531217186,128529.18331885569
2012-11-23,131718.0,132606.0,132606.0,131700.0,132606.0,23700,128348.31798942137,129381.33952659753,129994.59531217186,128529.18331885569
2012-11-26,132237.0,132411.0,132500.0,131943.0,132411.0,50200,129657.81798942141,129630.83952659751,130759.09531217186,129566.1833188557
2012-11-27,132400.0,132004.0,132956.0,132001.0,132004.0,48800,129657.81798942141,129630.83952659751,130759.09531217186,129566.1833188557
2012-11-28,131800.0,132291.0,132415.0,130955.0,132291.0,94000,129636.81798942138,129506.33952659753,130700.59531217183,128819.18331885569
2012-11-29,132795.0,131875.0,132924.0,131495.0,131875.0,47800,129636.81798942138,129506.33952659753,130700.59531217183,128819.18331885569
2012-11-30,131873.0,131916.0,132420.0,131617.0,131916.0,65900,129462.31798942137,129326.33952659754,130666.09531217188,129252.68331885568
2012-12-03,132373.0,131890.0,132850.0,131700.0,131890.0,51900,129462.31798942137,129326.33952659754,130666.09531217188,129252.68331885568
2012-12-04,131775.0,130890.0,131887.0,130733.0,130890.0,44200,128750.8179894214,128590.3395265975,129928.59531217186,128233.18331885569
2012-12-05,131048.0,131444.0,131908.0,130545.0,131444.0,64900,128750.8179894214,128590.3395265975,129928.59531217186,128233.18331885569
2012-12-06,131695.0,131240.0,131801.0,130764.0,131240.0,45700,128896.81798942137,128588.33952659753,129703.59531217186,128226.18331885569
2012-12-07,131420.0,131090.0,131544.0,130500.0,131090.0,45300,128896.81798942137,128588.33952659753,129703.59531217186,128226.18331885569
2012-12-10,131090.0,130788.0,131090.0,130497.0,130788.0,71600,128313.81798942137,128232.83952659754,129250.59531217185,128058.68331885569
2012-12-11,130859.0,130831.0,131349.0,130432.0,130831.0,90800,128313.81798942137,128232.83952659754,129250.59531217185,128058.68331885569
2012-12-12,131100.0,134000.0,135010.0,131100.0,134000.0,332700,130139.31798942135,131523.3395265975,132908.59531217188,129915.18331885568
2012-12-13,134500.0,134200.0,134745.0,133542.0,134200.0,145800,130139.31798942135,131523.3395265975,132908.59531217188,129915.18331885568
2012-12-14,134375.0,133795.0,134561.0,133662.0,133795.0,93000,131774.31798942137,131745.83952659753,132811.59531217185,131585.18331885568
2012-12-17,134495.0,134850.0,135000.0,134320.0,134850.0,146800,131774.31798942137,131745.83952659753,132811.59531217185,131585.18331885568
2012-12-18,134980.0,135700.0,135700.0,134750.0,135700.0,212700,132329.31798942137,132873.33952659753,133888.5953121719,132329.1833188557
2012-12-19,135000.0,135200.0,136015.0,134720.0,135200.0,147800,132329.31798942137,132873.33952659753,133888.5953121719,132329.1833188557
2012-12-20,135055.0,135936.0,136208.0,135025.0,135936.0,158500,132439.3179894214,132791.33952659753,133973.59531217185,132381.68331885568
2012-12-21,135145.0,134800.0,135677.0,134550.0,134800.0,111600,132439.3179894214,132791.33952659753,133973.59531217185,132381.68331885568
2012-12-24,134305.0,134660.0,135002.0,134003.0,134660.0,69100,131816.8179894214,131716.8395265975,133002.09531217185,131351.18331885568
2012-12-26,134650.0,133927.0,134940.0,133511.0,133927.0,90400,131816.8179894214,131716.8395265975,133002.09531217185,131351.18331885568
2012-12-27,134200.0,133900.0,134499.0,133125.0,133900.0,135300,131263.8179894214,130873.33952659751,132105.09531217185,130607.18331885568
2012-12-28,133649.0,133000.0,133649.0,132901.0,133000.0,134500,131263.8179894214,130873.33952659751,132105.09531217185,130607.18331885568
2012-12-31,132500.0,134060.0,134596.0,132400.0,134060.0,119800,132014.31798942137,134060.0,134596.00000000003,132219.1833188557
2013-01-02,136850.0,139610.0,139627.0,136850.0,139610.0,83200,132014.31798942137,134456.679053195,135689.19062434373,132219.1833188557
2013-01-03,140000.0,140549.0,141476.0,139278.0,140549.0,100200,137778.8179894214,138099.3395265975,139271.09531217185,137256.68331885568
2013-01-04,140879.0,140803.0,141004.0,140047.0,140803.0,34700,137778.8179894214,138099.3395265975,139271.09531217185,137256.68331885568
2013-01-07,140949.0,140190.0,140949.0,139731.0,140190.0,60400,137911.31798942137,138018.33952659753,139005.59531217185,137251.68331885568
2013-01-08,140195.0,141000.0,141000.0,139584.0,141000.0,61700,137911.31798942137,138018.33952659753,139005.59531217185,137251.68331885568
2013-01-09,141188.0,140000.0,141365.0,139819.0,140000.0,39400,138308.31798942137,138307.33952659753,139713.59531217185,137627.18331885568
2013-01-10,140750.0,141768.0,142000.0,140247.0,141768.0,55400,138308.31798942137,138307.33952659753,139713.59531217185,137627.18331885568
2013-01-11,142000.0,141525.0,142050.0,141390.0,141525.0,40200,139211.81798942137,139685.83952659753,140577.59531217185,138949.18331885568
2013-01-14,141745.0,143000.0,143043.0,141320.0,143000.0,37800,139211.81798942137,139685.83952659753,140577.59531217185,138949.18331885568
